,Date,CHF/EUR,tavg_minusio,tmin_minusio,tmax_minusio,wdir_minusio,wspd_minusio,pres_minusio,prcp_minusio,tavg_robiei,wspd_robiei,tavg_piotta,wspd_piotta,tavg_comporvasco,wspd_comprovasco,ImportData,ExportData,ProductionTessin
0,2000-01-03,1.5459,-1.3800000000000001,-5.34,4.119999999999999,95.0,3.6399999999999997,1027.42,0.0,-2.0875669824700824,4.815827360963263,12.57229462535502,1.5786270314267146,6.313790663304964,1.5786270314267146,673419474.8055699,542026578.4635749,62719876.03988053
1,2000-01-10,1.5539,0.6,-2.683333333333333,4.500000000000001,128.0,3.1999999999999997,1029.1000000000001,4.348509009041816,-0.33514501074094505,10.105099418000195,0.39938740993524524,9.927867126338262,3.2690658901879712,9.927867126338262,673419474.8055699,542026578.4635749,62719876.03988053
2,2000-01-17,1.5605676467252374,2.9,-1.6749999999999998,7.9,118.66666666666667,6.7,1023.775,0.09400460281416012,-2.90629625698578,11.572026487169811,5.298473611253179,6.615072984267702,4.1961292189529775,6.615072984267702,673419474.8055699,542026578.4635749,62719876.03988053
3,2000-01-24,1.5539,2.233333333333333,-3.6166666666666667,8.266666666666667,96.2,8.716666666666667,1017.9,0.0,-3.747336216313231,9.587353728039878,-0.9191470744668016,4.77338434084351,1.7423782913328851,4.77338434084351,673419474.8055699,542026578.4635749,62719876.03988053
4,2000-01-31,1.5619,2.6833333333333336,-2.6499999999999995,9.05,102.5,5.433333333333334,1023.4666666666667,1.629866954234787,1.577487906012772,10.766173810824727,0.7990141212936224,5.312293305065671,-0.07993829297225741,5.312293305065671,673419474.8055699,542026578.4635749,62719876.03988053
5,2000-02-07,1.5619,4.685714285714285,-0.5,11.114285714285714,158.75,5.5,1027.3428571428572,9.928895402064386,-3.5145810582243038,8.414963612884813,5.243213826816688,8.230587426946398,1.5060280177425538,8.230587426946398,673419474.8055699,542026578.4635749,62719876.03988053
6,2000-02-14,1.549806410790779,4.342857142857143,-0.6571428571428571,10.12857142857143,152.33333333333334,4.7,1018.3571428571429,0.0,-3.5627797881760657,9.61042376554128,3.23573174227132,4.694878241373702,3.869217875785818,4.694878241373702,673419474.8055699,542026578.4635749,62719876.03988053
7,2000-02-21,1.5673036797308795,3.714285714285714,-1.6857142857142857,10.157142857142857,99.25,7.557142857142858,1020.8285714285714,1.9967604252665594,-0.6214584432672007,9.132629362100465,7.832832746837151,9.257737795109293,9.349662115057358,9.257737795109293,673419474.8055699,542026578.4635749,62719876.03988053
8,2000-02-28,1.5481069659629556,5.371428571428572,1.0142857142857142,9.857142857142858,148.33333333333334,5.471428571428571,1024.2,0.0,0.5631720440637791,9.396678087302698,6.969216579464316,7.506195806070609,4.231467083779103,7.506195806070609,673419474.8055699,542026578.4635749,62719876.03988053
9,2000-03-06,1.5539259648270716,6.571428571428571,-0.942857142857143,15.242857142857146,140.0,6.0857142857142845,1024.8142857142857,0.0,2.8114761111539073,9.4578424678817,5.447964857716439,7.959686158643602,4.8435601680784135,7.959686158643602,673419474.8055699,542026578.4635749,62719876.03988053
10,2000-03-13,1.5539,9.625,3.0749999999999997,16.325000000000003,190.0,5.35,1020.7,2.60319626486695,-0.06871899585047236,6.625534414584138,8.260752247022301,4.567101626724196,8.794961164148404,4.567101626724196,673419474.8055699,542026578.4635749,62719876.03988053
11,2000-03-20,1.5539,10.257142857142856,3.9999999999999996,16.4,196.6,7.314285714285715,1019.5500000000001,0.0,-1.3944154264637083,7.725914806306125,9.54751174938772,7.930501225911623,9.141843066836488,7.930501225911623,673419474.8055699,542026578.4635749,62719876.03988053
12,2000-03-27,1.5459,8.128571428571428,4.671428571428571,12.185714285714285,220.0,5.742857142857142,1010.6857142857144,1.1641308627255766,2.706036825684831,6.862155199435305,13.275302534446555,9.429218584559093,8.140386334635682,9.429218584559093,673419474.8055699,542026578.4635749,62719876.03988053
13,2000-04-03,1.5650153979164578,9.299999999999999,4.416666666666667,14.450000000000001,145.2,7.0,1006.4499999999999,4.116616812031686,-4.012072281613401,9.487060156738302,7.316936564706571,7.639230454386071,7.085465898076982,7.639230454386071,673419474.8055699,542026578.4635749,62719876.03988053
14,2000-04-10,1.5511582991822872,9.457142857142857,5.971428571428572,13.22857142857143,252.2,6.271428571428571,1010.4857142857143,6.226786476266472,-2.087296876742591,5.945411476747019,8.65688411133329,7.903576205049654,12.053301625180415,7.903576205049654,673419474.8055699,542026578.4635749,62719876.03988053
15,2000-04-17,1.5609810897770515,10.185714285714287,7.1000000000000005,13.414285714285715,115.2,7.171428571428572,1008.5285714285714,0.674969913089634,2.648335192129269,8.984180202513759,9.43154528271415,8.582152255810337,15.085713076537187,8.582152255810337,673419474.8055699,542026578.4635749,62719876.03988053
16,2000-04-24,1.5539,15.180000000000001,8.459999999999999,21.339999999999996,298.5,4.92,1014.0600000000001,4.62428057068955,0.6401606128368769,5.9886481006432,11.38951701531644,7.887246295933395,11.90900778036969,7.887246295933395,673419474.8055699,542026578.4635749,62719876.03988053
17,2000-05-01,1.5691207762108945,15.5,11.485714285714284,19.885714285714283,211.0,4.985714285714286,1016.0142857142857,20.33119180322997,-0.41695096188850034,4.63725227307262,11.909304645106653,9.803339169040111,12.491749453369144,9.803339169040111,673419474.8055699,542026578.4635749,62719876.03988053
18,2000-05-08,1.5619,16.450000000000003,13.65,20.05,212.0,5.300000000000001,1018.6833333333334,14.518663495551781,2.120324116422029,7.41371507184455,12.21218996506277,10.46546382650524,9.642879672933422,10.46546382650524,673419474.8055699,542026578.4635749,62719876.03988053
