,Date,CHF/EUR,tavg_sion,tmin_sion,tmax_sion,prcp_sion,snow_sion,wdir_sion,wspd_sion,wpgt_sion,pres_sion,tsun,Year,Week,tavg_sierre,prcp_sierre,wspd_sierre,tavg_bernhard,tmin_bernhard,tmax_bernhard,prcp_bernhard,tavg_aigle,wspd_aigle,ImportData,ExportData,ProductionWallis
197,2003-10-13,1.54954,10.642857142857142,5.371428571428571,17.857142857142854,0.0,0.0,110.83333333333333,7.6499999999999995,,1021.4833333333332,,2003,42,10.40342098991274,0.0,7.804971093157776,3.2,0.642857142857143,5.628571428571428,0.0,12.137461681476873,4.053956423231508,718482497.5573983,722473507.2159915,225501266.05129346
198,2003-10-20,1.54894,6.514285714285714,2.042857142857143,11.828571428571427,1.0,0.0,100.25,7.116666666666667,,1008.7666666666668,,2003,43,9.006957486712059,4.799687647352677,6.813658911981328,-3.6,-6.942857142857142,-0.9,8.142857142857142,11.331300477379292,6.802605634264955,688756155.0599481,572519738.1732707,159973705.0484237
199,2003-10-27,1.54968,3.942857142857143,-0.4571428571428572,10.028571428571428,0.35714285714285715,0.0,97.0,6.885714285714286,,1012.8142857142857,,2003,44,7.676206063838927,0.7266134564456761,6.208729370656528,-8.185714285714287,-10.12857142857143,-6.442857142857144,7.028571428571429,12.237283855962115,6.238441474648647,588065350.6857754,673630862.4183625,226123572.92598215
200,2003-11-03,1.5514800000000002,6.342857142857143,1.6428571428571428,13.357142857142858,1.1714285714285713,0.0,88.66666666666667,5.1571428571428575,,1015.3142857142856,,2003,45,9.572393914377422,1.3534159396937508,4.78616139728298,-0.7142857142857143,-3.6142857142857143,2.1285714285714286,6.028571428571429,12.085393494090914,5.610478669631372,746330835.115423,489472300.7490293,216156341.08404157
201,2003-11-10,1.5675000000000001,5.328571428571428,0.7142857142857143,12.22857142857143,0.08571428571428572,0.0,95.33333333333333,5.871428571428572,,1022.6428571428571,,2003,46,4.32124257862851,0.7408545602291261,5.763276185895961,-2.9571428571428577,-5.0,0.10000000000000002,3.6999999999999997,8.948621023007847,10.67977338560918,618191304.5284534,660909371.6624286,242709192.15715334
202,2003-11-17,1.56644,6.385714285714285,2.085714285714286,12.671428571428573,0.5714285714285714,0.0,112.57142857142857,6.214285714285714,,1023.1428571428572,,2003,47,5.076808859043255,1.6428199731685813,4.931218329389403,-0.5142857142857143,-2.871428571428571,2.1714285714285713,3.071428571428572,5.411261516751816,5.890128862777395,695718700.229364,721999207.1686451,113524518.92191222
203,2003-11-24,1.55114,7.885714285714286,3.4571428571428577,13.871428571428572,2.257142857142857,0.0,128.0,6.257142857142857,,1009.2666666666668,,2003,48,4.552097864895977,0.774828869305546,6.722628573311837,-2.2857142857142856,-3.5714285714285716,-0.8428571428571429,18.728571428571428,4.349387308486501,5.701225952777928,749194288.4989281,528474901.10397017,153312679.9346114
204,2003-12-01,1.55022,8.014285714285716,3.8714285714285714,12.5,0.0,0.0,119.83333333333333,9.428571428571429,,1013.357142857143,,2003,49,3.7975645895611505,1.4056397205821987,6.306367192953028,-4.557142857142857,-6.014285714285714,-3.1,23.285714285714285,4.219391800201795,2.496966199890346,742683028.5924283,751723467.25353,241563221.56916213
205,2003-12-08,1.55512,0.6428571428571429,-3.442857142857143,7.0,0.0,0.0,91.0,5.971428571428571,,1022.2,,2003,50,7.0346084996999645,3.8762784569164834,5.437046858215075,-5.557142857142858,-8.971428571428572,-2.3428571428571425,0.1,4.157161887829214,5.717270102808325,755679179.6335882,662272632.280437,212449292.82891494
206,2003-12-15,1.54916,1.7285714285714289,-1.842857142857143,6.885714285714286,0.2714285714285714,0.0,183.8,8.185714285714287,,1024.5285714285715,,2003,51,2.0734068557855356,0.1838862305704449,5.108324647348842,-5.671428571428572,-8.871428571428572,-1.8857142857142861,7.814285714285715,5.409592967173854,9.135174765642773,739809594.087953,704563044.2835207,278791709.14309597
