,Date,CHF/EUR,tavg_sion,prcp_sion,snow_sion,wspd_sion,pres_sion,prcp_sierre,wspd_sierre,tavg_bernhard,prcp_bernhard,wspd_aigle,ImportData,ExportData,ProductionWallis
0,2000-01-10,1.6043,-2.483333333333334,0.0,78.33333333333333,6.540000000000001,1030.9,0.7854009216902005,7.347522338865852,-5.93051948051948,0.0,7.395097991798119,790888342.3103789,429779121.62428594,128938337.32359558
1,2000-01-17,1.60698,-1.7285714285714284,0.0,51.42857142857143,5.2,1029.35,3.8160008668711143,5.230095366751195,-6.330519480519481,0.0,3.180927746535282,790888342.3103789,429779121.62428594,128938337.32359558
2,2000-01-24,1.61136,-2.414285714285714,0.0,48.57142857142857,4.375,1027.6750000000002,0.2605961914821311,5.592553347911038,-6.437012987012988,0.6142857142857142,7.200038146677211,790888342.3103789,429779121.62428594,128938337.32359558
3,2000-01-31,1.6127200000000002,-3.3714285714285714,0.1285714285714286,42.857142857142854,4.666666666666666,1023.9166666666666,0.09920316085769643,6.234834599282424,-4.964285714285714,4.957142857142857,5.763300438297765,790888342.3103789,429779121.62428594,128938337.32359558
4,2000-02-07,1.61124,1.5,3.085714285714286,28.571428571428573,4.414285714285714,1027.0833333333333,1.20235641737321,7.464722342505201,-5.551558441558442,9.6,8.738478041681795,790888342.3103789,429779121.62428594,128938337.32359558
5,2000-02-14,1.60808,3.9571428571428577,2.6285714285714286,0.0,6.0857142857142845,1030.0571428571427,1.51845052474139,4.293411894458561,-6.502040816326531,11.714285714285714,6.494959536070528,790888342.3103789,429779121.62428594,128938337.32359558
6,2000-02-21,1.6069600000000002,3.171428571428571,1.6285714285714288,1.4285714285714286,5.228571428571429,1022.0428571428572,0.0,9.247711174915967,-6.495238095238094,17.77142857142857,6.798126531699712,790888342.3103789,429779121.62428594,128938337.32359558
7,2000-02-28,1.60404,1.3142857142857145,0.9714285714285715,11.428571428571429,5.171428571428572,1024.457142857143,0.20422335505557365,9.99470968569263,-8.427891156462586,10.328571428571427,3.724005611513015,790888342.3103789,429779121.62428594,128938337.32359558
8,2000-03-06,1.6085,5.828571428571428,3.4571428571428577,0.0,6.742857142857143,1024.7857142857142,0.0,8.498528220444786,-7.9768707482993175,16.47142857142857,6.025166178571324,790888342.3103789,429779121.62428594,128938337.32359558
9,2000-03-13,1.60686,5.528571428571428,0.6857142857142858,0.0,6.185714285714285,1028.0714285714287,1.4131762266668297,12.823520419623069,-7.567573696145125,6.371428571428571,2.5006285782033544,790888342.3103789,429779121.62428594,128938337.32359558
10,2000-03-20,1.6078199999999998,9.200000000000001,0.41428571428571426,0.0,7.15,1022.65,1.3467942996765663,7.319218356294243,-7.426530612244896,2.685714285714286,15.108369951734328,790888342.3103789,429779121.62428594,128938337.32359558
11,2000-03-27,1.61186,7.914285714285714,0.0,0.0,9.12857142857143,1021.0714285714284,5.5915055237435265,10.67240231925845,-6.765306122448981,0.5999999999999999,8.102965689053969,790888342.3103789,429779121.62428594,128938337.32359558
12,2000-04-03,1.6019999999999999,7.214285714285715,1.0142857142857142,0.0,9.214285714285714,1010.2285714285714,2.088211764338931,5.854688837049528,-6.697959183673468,4.085714285714286,6.499632839838316,790888342.3103789,429779121.62428594,128938337.32359558
13,2000-04-10,1.59004,8.714285714285714,0.14285714285714285,0.0,10.571428571428571,1005.9,2.6338767082210595,9.429039819695426,-6.408163265306123,3.885714285714286,9.090198349682101,790888342.3103789,429779121.62428594,128938337.32359558
14,2000-04-17,1.57464,9.671428571428569,1.5285714285714285,0.0,9.785714285714286,1008.0714285714286,2.0892091895804756,9.578176234226218,-6.297959183673468,5.6000000000000005,9.553705629233837,790888342.3103789,429779121.62428594,128938337.32359558
15,2000-04-24,1.57248,10.128571428571428,0.24285714285714288,0.0,9.885714285714284,1006.8714285714286,2.16968782236287,9.296427968587484,-4.7115646258503405,5.8999999999999995,9.460159890545452,790888342.3103789,429779121.62428594,128938337.32359558
16,2000-05-01,1.5728333333333333,14.485714285714282,2.7142857142857144,0.0,10.014285714285716,1011.1,0.8559240541340627,9.128017709794058,-4.0462585034013605,18.657142857142855,12.80088526218306,790888342.3103789,429779121.62428594,128938337.32359558
17,2000-05-08,1.572125,15.571428571428571,0.4857142857142857,0.0,9.442857142857145,1013.8000000000002,1.1668238690387565,10.1882012422846,-3.140136054421769,11.914285714285715,7.909625500524658,790888342.3103789,429779121.62428594,128938337.32359558
18,2000-05-15,1.54886,17.47142857142857,0.6285714285714284,0.0,8.3,1014.4833333333335,3.032569696233401,8.8974944753504,-2.799319727891156,5.685714285714286,4.353575831110354,790888342.3103789,429779121.62428594,128938337.32359558
19,2000-05-22,1.55452,18.3,0.1142857142857143,0.0,10.12857142857143,1016.2142857142856,0.16480691845440698,8.887439150444802,-2.2714285714285714,1.9142857142857144,7.494232351498184,790888342.3103789,429779121.62428594,128938337.32359558
20,2000-05-29,1.55172,15.671428571428573,0.18571428571428572,0.0,12.299999999999999,1013.1142857142858,0.22684696528385667,9.715864357419798,-1.2741496598639457,2.7857142857142856,9.079373992393224,790888342.3103789,429779121.62428594,128938337.32359558
21,2000-06-05,1.56334,15.328571428571431,0.9,0.0,9.12857142857143,1015.8000000000001,0.0,8.883803424889912,-0.20136054421768718,4.557142857142858,9.697401133124306,790888342.3103789,429779121.62428594,128938337.32359558
22,2000-06-12,1.57274,19.457142857142856,0.5,0.0,9.757142857142856,1017.4571428571428,1.3919058966534168,12.845694292007273,0.35578231292516993,6.328571428571428,7.391156800549443,790888342.3103789,429779121.62428594,128938337.32359558
