,Date,CHF/EUR,tavg_minusio,wspd_minusio,pres_minusio,prcp_minusio,wspd_robiei,wspd_piotta,wspd_comprovasco,ImportData,ExportData,ProductionTessin
0,2000-01-10,1.6043,-1.3800000000000001,3.6399999999999997,1027.42,0.0,9.630564590725367,1.5786270314267146,1.5786270314267146,790888342.3103789,429779121.62428594,52545540.909192406
1,2000-01-17,1.60698,0.6,3.1999999999999997,1029.1000000000001,1.5798495545627795,9.634923701860833,9.927867126338262,9.927867126338262,790888342.3103789,429779121.62428594,52545540.909192406
2,2000-01-24,1.61136,2.9,6.7,1023.775,0.0,11.219658363476025,6.615072984267702,6.615072984267702,790888342.3103789,429779121.62428594,52545540.909192406
3,2000-01-31,1.6127200000000002,2.233333333333333,8.716666666666667,1017.9,20.17308868545021,9.948492453099597,4.77338434084351,4.77338434084351,790888342.3103789,429779121.62428594,52545540.909192406
4,2000-02-07,1.61124,2.6833333333333336,5.433333333333334,1023.4666666666667,2.396055333634985,10.606395406288726,5.312293305065671,5.312293305065671,790888342.3103789,429779121.62428594,52545540.909192406
5,2000-02-14,1.60808,4.685714285714285,5.5,1027.3428571428572,7.5942748401789775,9.618411992055204,8.230587426946398,8.230587426946398,790888342.3103789,429779121.62428594,52545540.909192406
6,2000-02-21,1.6069600000000002,4.342857142857143,4.7,1018.3571428571429,3.3394893829236687,8.344045174866531,4.694878241373702,4.694878241373702,790888342.3103789,429779121.62428594,52545540.909192406
7,2000-02-28,1.60404,3.714285714285714,7.557142857142858,1020.8285714285714,1.559757066006894,8.556237117842947,9.257737795109293,9.257737795109293,790888342.3103789,429779121.62428594,52545540.909192406
8,2000-03-06,1.6085,5.371428571428572,5.471428571428571,1024.2,4.605711931400973,8.151841099213327,7.506195806070609,7.506195806070609,790888342.3103789,429779121.62428594,52545540.909192406
9,2000-03-13,1.60686,6.571428571428571,6.0857142857142845,1024.8142857142857,7.956967578837459,8.788348020769808,7.959686158643602,7.959686158643602,790888342.3103789,429779121.62428594,52545540.909192406
10,2000-03-20,1.6078199999999998,9.625,5.35,1020.7,1.3808992392234005,6.431145249565715,4.567101626724196,4.567101626724196,790888342.3103789,429779121.62428594,52545540.909192406
11,2000-03-27,1.61186,10.257142857142856,7.314285714285715,1019.5500000000001,0.0,6.296345472346338,7.930501225911623,7.930501225911623,790888342.3103789,429779121.62428594,52545540.909192406
12,2000-04-03,1.6019999999999999,8.128571428571428,5.742857142857142,1010.6857142857144,0.20590585252681937,7.046123549526337,9.429218584559093,9.429218584559093,790888342.3103789,429779121.62428594,52545540.909192406
13,2000-04-10,1.59004,9.299999999999999,7.0,1006.4499999999999,6.926294232527984,8.717757814456762,7.639230454386071,7.639230454386071,790888342.3103789,429779121.62428594,52545540.909192406
14,2000-04-17,1.57464,9.457142857142857,6.271428571428571,1010.4857142857143,0.0,5.836524487745683,7.903576205049654,7.903576205049654,790888342.3103789,429779121.62428594,52545540.909192406
15,2000-04-24,1.57248,10.185714285714287,7.171428571428572,1008.5285714285714,2.687623282725894,11.381869556279748,8.582152255810337,8.582152255810337,790888342.3103789,429779121.62428594,52545540.909192406
16,2000-05-01,1.5728333333333333,15.180000000000001,4.92,1014.0600000000001,7.3659237604765355,4.940016887591909,7.887246295933395,7.887246295933395,790888342.3103789,429779121.62428594,52545540.909192406
17,2000-05-08,1.572125,15.5,4.985714285714286,1016.0142857142857,27.885454799921362,6.284346440253734,9.803339169040111,9.803339169040111,790888342.3103789,429779121.62428594,52545540.909192406
18,2000-05-15,1.54886,16.450000000000003,5.300000000000001,1018.6833333333334,22.68722329359128,8.111563856155499,10.46546382650524,10.46546382650524,790888342.3103789,429779121.62428594,52545540.909192406
19,2000-05-22,1.55452,18.74285714285714,5.985714285714286,1017.2571428571429,11.327410514292298,7.044104832146908,13.859951317900293,13.859951317900293,790888342.3103789,429779121.62428594,52545540.909192406
20,2000-05-29,1.55172,17.400000000000002,7.542857142857143,1012.4285714285713,10.417094221066437,7.425101535827549,7.445140019687972,7.445140019687972,790888342.3103789,429779121.62428594,52545540.909192406
21,2000-06-05,1.56334,17.585714285714285,6.357142857142857,1015.2714285714285,4.546485166309167,8.426871630822564,8.643783997644658,8.643783997644658,790888342.3103789,429779121.62428594,52545540.909192406
22,2000-06-12,1.57274,20.842857142857145,6.385714285714286,1017.9714285714288,10.074233076650522,8.462240974310335,8.158232370456606,8.158232370456606,790888342.3103789,429779121.62428594,52545540.909192406
23,2000-06-19,1.5673,20.62857142857143,6.785714285714286,1019.1,2.980571755973688,7.296060994659141,7.150537572251255,7.150537572251255,790888342.3103789,429779121.62428594,52545540.909192406
24,2000-06-26,1.56312,22.257142857142856,6.757142857142857,1020.4285714285714,7.36348096463791,5.053099971638314,7.2455199036492655,7.2455199036492655,790888342.3103789,429779121.62428594,52545540.909192406
25,2000-07-03,1.55098,20.057142857142857,8.028571428571428,1013.7571428571429,0.0,5.823686810757091,7.116176348145024,7.116176348145024,790888342.3103789,429779121.62428594,52545540.909192406
26,2000-07-10,1.5530000000000002,22.199999999999996,6.157142857142857,1012.6428571428571,9.919187328988784,8.61912190076388,5.782650430526684,5.782650430526684,790888342.3103789,429779121.62428594,52545540.909192406
27,2000-07-17,1.5492599999999999,19.142857142857142,9.842857142857143,1007.1285714285714,4.960098837152079,6.8642647894671605,6.715925387633825,6.715925387633825,790888342.3103789,429779121.62428594,52545540.909192406
